Eup (K)	Ln(Nu/gu)	err(Ln(Nu/gu))
431.0914758692735	24.883303519564777	0.10580385521281681
488.02640150532466	24.04009957992804	0.18953432217292188
488.02640150532466	24.04009957992804	0.18953432217292188
454.23949279723456	25.49984698969968	0.1380574184659323
274.9535512742321	27.02152432474169	0.1317837680263074
274.95355237805836	27.085077052291933	0.133105596732234
431.0914758692735	24.883436130878007	0.1058030376531536
505.4288443582055	24.028919387176266	0.11562294621392794
505.4288443582055	24.00649175172614	0.11608075869809513
202.3602659411357	27.741842010988336	0.1323456146577407
202.3452024521276	27.747308115418367	0.16010653802475144
522.1205282583022	24.628660389301842	0.12355393741571385
490.36710644221506	23.889660696478597	0.1909553902828679
515.15683104618	23.385482830922182	0.29850690312400274
515.15683104618	23.39276082343389	0.305466033415926
488.01685372391125	24.54657207685897	0.1201954994733743
488.01760910692326	24.56516054708577	0.11895901392150832
493.0166689757831	26.95056091231873	0.10102563410765728
274.9439307743411	26.849622233149432	0.16704092463130837
192.34008515047432	27.84655539869808	0.1414733892662413
80.32008139860088	28.443810861353896	0.10202437876653947
80.32008139860088	28.458682003574957	0.10199730814934203
